,id,age,cause,vus,country,kpp,yService,voenk,kategory,katZ,date
0,1598,23.0,отказ во въезде,,Финляндия,Торфяновка,,,,,2022-09-22T06:49:08
1,1699,,отказ во въезде,,Литва,Советск,,,,,2022-09-22T23:26:02
2,1756,,отсутсвие визы принимающей страны,,Иран,Шереметьево,,,,,2022-09-23T15:29:43
3,1791,,отказ во въезде,,Литва,Каменный Лог,,,,,2022-09-23T05:00:55
4,1800,30.0,отказ от военкомата,служил,ОАЭ,Домодедово,,,,,2022-09-24T08:00:32
5,1800,26.0,отказ от военкомата,служил,Казахстан,Николаевка,,,А,,2022-09-24T00:00:32
6,1800,26.0,отказ от военкомата,служил,Турция,Уфа,,,А,,2022-09-24T08:00:32
7,1862,33.0,отказ от военкомата,стрелок,Казахстан,,,,,,2022-09-24T12:21:01
8,1862,35.0,отказ от военкомата,не служил,Казахстан,,,,,,2022-09-24T12:21:01
9,1863,40.0,долг,не служил,,Домодедово,,,В,,2022-09-24T12:26:01
10,1864,29.0,отказ во въезде,не служил,Эстония,Ивангород,,,В,,2022-09-24T12:33:45
11,1882,39.0,отказ во въезде,не служил,Эстония,Ивангород,,,,,2022-09-24T13:57:41
12,1887,26.0,отказ от военкомата,Дежурный КПП,Казахстан,Петухово,,,,1.0,2022-09-24T14:15:16
13,1945,35.0,отсутсвие ковидного сертификата,не служил,Азербайджан,Шереметьево,,,В,,2022-09-24T19:32:06
14,1963,24.0,отказ от военкомата,Развед. Десант,Казахстан,Локоть,,,,,2022-09-24T20:32:01
15,1968,29.0,отсутсвие ковидного сертификата,,Азербайджан,Домодедово,,,,,2022-09-24T20:50:09
16,1981,30.0,отказ от военкомата,артиллерия,Узбекистан,Казань,2009-2010,,Б,,2022-09-24T21:31:01
17,1986,,отказ от военкомата,,Казахстан,Бугристое,,Екатеринбург,,,2022-09-24T22:47:01
18,1994,40.0,отказ во въезде,не служил,Эстония,Ивангород,,,,,2022-09-24T23:08:01
19,2016,24.0,отказ от военкомата,служил,Казахстан,Казанское,,,А,,2022-09-25T08:59:55
20,2016,26.0,отказ от военкомата,служил,Казахстан,Казанское,,,А,,2022-09-25T08:59:55
21,2064,32.0,отказ во въезде,в ВС РФ не служил (ВСУ),Эстония,Печоры,,,,,2022-09-25T12:30:44
22,2069,,отказ от военкомата,служил,,Курумоч,2020-2021,,,,2022-09-25T12:59:30
23,2080,29.0,отказ от военкомата,служил,Казахстан,Сагарчин,,,,,2022-09-25T13:59:29
24,2090,28.0,отказ от военкомата,артиллерис рядовой,Киргизия,Красноярск,,,А,,2022-09-25T14:26:00
25,2096,34.0,отказ во въезде,,Литва,Чернышевское,,,,,2022-09-25T14:43:22
26,2098,28.0,отказ от военкомата,служил,Армения,Курумоч,,,,,2022-09-25T14:48:47
27,2103,,отказ во въезде,,Эстония,Ивангород,,,,,2022-09-25T15:34:01
28,2111,38.0,долг,906,Казахстан,Караозек,,,,1.0,2022-09-25T02:00:26
29,2123,28.0,отказ от военкомата,оператор радиолокационных станций ВКС,Казахстан,,2016-2017,,Б2,1.0,2022-09-25T13:23:54
30,2129,,отказ во въезде,,Эстония,Ивангород,,,,,2022-09-25T18:40:02
31,2134,26.0,отказ от военкомата,водитель,Казахстан,Бугристое,,Архангельская область,,1.0,2022-09-25T19:24:15
32,2136,30.0,отказ от военкомата,служил,Грузия,Верхний Ларс,,,,,2022-09-25T19:35:19
33,2137,27.0,отказ от военкомата,водитель,Азербайджан,Внуково,,,В,,2022-09-25T19:36:17
34,2171,35.0,отказ во въезде,,Эстония,Ивангород,,,В,2.0,2022-09-25T21:31:40
35,2214,32.0,отказ во въезде,,Грузия,Граница с Арменией,,,,,2022-09-25T22:17:38
